platform,mean_hour_local
BR1,19.0098445266956
BR1,15.84025903375406
BR1,20.112590453936228
BR1,17.158479725425646
BR1,17.537960871771375
BR1,19.86613294433025
BR1,15.87535120000848
BR1,20.22503252615451
BR1,6.399224743003126
BR1,18.20784196181425
BR1,2.898195508964437
BR1,18.12713462256244
BR1,21.269330040400103
BR1,20.36757025785237
BR1,15.526601896344973
BR1,16.609621525535903
BR1,19.52235162909803
BR1,16.993023141593106
BR1,18.838862054030624
BR1,18.672863043211805
BR1,18.85639978718607
BR1,17.972358193471607
BR1,17.52603221267078
BR1,19.25298992788961
BR1,15.62812414567066
BR1,17.695128016186832
BR1,19.88085021061461
BR1,13.195888488081938
BR1,17.65093399873427
BR1,18.514344250130563
BR1,18.329418709784704
BR1,19.94000090413436
BR1,15.58916965432935
BR1,18.797798106769992
BR1,17.95933427303473
BR1,18.30701953631693
BR1,15.746611139910378
BR1,17.429637172080344
BR1,21.699222210500444
BR1,18.708616986932565
BR1,17.249344072101493
BR1,18.65924111966885
BR1,21.858056455879225
BR1,21.77624467662845
BR1,18.830682605855376
BR1,12.476710315898089
BR1,18.90315531943077
BR1,19.294652405593457
BR1,19.95607180350501
BR1,17.333797274597824
BR1,17.94302304088998
BR1,15.274917865636482
BR1,18.19423313384828
BR1,17.804927975081682
BR1,22.43722670725764
BR1,19.179722122840783
BR1,16.0763095155649
BR1,14.22981360521927
BR1,16.93485022394287
BR1,18.57753999803221
BR1,20.07280556952673
BR1,19.837439939253954
BR1,22.818898451318034
BR1,22.05578923854703
BR1,18.343803384795763
BR1,23.564002683235
BR1,17.307111729232517
BR1,17.008185480773136
BR1,21.85341357736441
BR1,20.148363563394398
BR1,19.255038527624137
BR1,17.484622155016023
BR1,15.448077100368822
BR1,16.65233822691689
BR1,20.854482838412345
BR1,22.615774502322036
BR1,19.375825228530587
BR1,21.002243037072752
BR1,16.77886190055217
BR1,22.858876513917192
BR1,20.16572843693103
BR1,18.92834207903987
BR1,18.344410464352315
BR1,23.35883954275377
BR1,19.467589176104564
BR1,19.595072924688964
BR1,19.11268773790839
BR1,18.778626215348844
BR1,17.799242604739955
BR1,20.099311247866307
BR1,17.13311336724925
BR1,15.82167907696008
BR1,18.53058423264373
BR1,15.61433424601555
BR1,17.809202302152958
BR1,23.331419585652505
BR1,20.75573132691696
BR1,23.755796184728386
BR1,17.36020387242995
BR1,18.12296852952101
BR1,21.86128538539321
BR1,19.44530547149621
BR1,18.835272731724796
BR1,13.98310448932467
BR1,17.165406749352364
BR1,20.00077963818112
BR1,20.28479762884334
BR1,21.35681757651057
BR1,22.02605266827309
BR1,22.01593120635973
BR1,19.836863730346742
BR1,20.39381085295757
BR1,19.81018048731582
BR1,22.515748226523613
BR1,17.50210040188245
BR1,15.637315716080243
BR1,17.963709888999894
BR1,15.42174059541343
BR1,16.67798626282326
BR1,19.74027348745021
BR1,17.416820053488014
BR1,20.53859604706293
BR1,18.320062513475747
BR1,20.91931654850996
BR1,20.05251023252452
BR1,0.0511984065469276
BR1,19.898273134348685
BR1,18.147657617487265
BR1,20.84530931719748
BR1,16.66425295617867
BR1,20.270605827241937
BR1,14.267869187515856
BR1,20.679232646311306
BR1,20.12888359041747
BR1,19.61615780240256
BR1,17.75184668161901
BR1,18.58412926388673
BR1,18.96426022570416
BR1,20.49376311122825
BR1,17.92628179724445
BR1,15.86014519581684
BR1,19.0807250943538
BR1,3.0035429350413776
BR1,15.459755929970676
BR1,19.55163800695496
BR1,18.84748092798726
BR1,18.454171156881827
BR1,14.811620545372651
BR1,18.018064706834423
BR1,18.94897927445033
BR1,17.411256051410202
BR1,21.3283262305378
BR1,15.227290594102644
BR1,17.990660819453456
BR1,19.945614256881267
BR1,18.47312435113472
BR1,19.98767664014279
BR1,17.94904394681255
BR1,15.299049630864584
BR1,16.81843576593559
BR1,19.284267871056787
BR1,18.23556711921092
BR1,17.839757058397623
BR1,19.367934749722664
BR1,19.010756933007656
BR1,19.822788951576683
BR1,19.79529292664424
BR1,16.86962174715396
BR1,20.861337346274592
BR1,19.269961432182907
BR1,17.41095144774901
BR1,19.226116759591363
BR1,19.177790637913287
BR1,17.783483577884105
BR1,20.845054511438008
BR1,19.93285994789771
