platform,metric,local_hour,density,n_phases,kappa,min_phases
BR1,PC1,21.5,0.044057728209030055,98,4.0,20
BR1,PC1,21.6,0.0440206404274982,98,4.0,20
BR1,PC1,21.700000000000003,0.04398838754932185,98,4.0,20
BR1,PC1,21.8,0.04396156359140588,98,4.0,20
BR1,PC1,21.900000000000002,0.0439406969747114,98,4.0,20
BR1,PC1,22.0,0.04392624641457329,98,4.0,20
BR1,PC1,22.1,0.04391859784201163,98,4.0,20
BR1,PC1,22.200000000000003,0.04391806245342183,98,4.0,20
BR1,PC1,22.3,0.04392487597183076,98,4.0,20
BR1,PC1,22.400000000000002,0.043939199185466155,98,4.0,20
BR1,PC1,22.5,0.043961119808579065,98,4.0,20
BR1,PC1,22.6,0.043990655685257125,98,4.0,20
BR1,PC1,22.700000000000003,0.0440277593294513,98,4.0,20
BR1,PC1,22.8,0.04407232376384795,98,4.0,20
BR1,PC1,22.900000000000002,0.044124189586958386,98,4.0,20
BR1,PC1,23.0,0.04418315316246412,98,4.0,20
BR1,PC1,23.1,0.04424897578824512,98,4.0,20
BR1,PC1,23.200000000000003,0.04432139366561827,98,4.0,20
BR1,PC1,23.3,0.04440012845329435,98,4.0,20
BR1,PC1,23.400000000000002,0.044484898156745126,98,4.0,20
BR1,PC1,23.5,0.04457542807349161,98,4.0,20
BR1,PC1,23.6,0.04467146148977459,98,4.0,20
BR1,PC1,23.700000000000003,0.044772769805637186,98,4.0,20
BR1,PC1,23.8,0.044879161755062895,98,4.0,20
BR1,PC1,23.900000000000002,0.04499049138674148,98,4.0,20
BR1,PC2,0.0,0.07505004320408823,59,4.0,20
BR1,PC2,0.1,0.07444874167192625,59,4.0,20
BR1,PC2,0.2,0.07383051816442539,59,4.0,20
BR1,PC2,0.30000000000000004,0.07319648419057488,59,4.0,20
BR1,PC2,0.4,0.07254780333442083,59,4.0,20
BR1,PC2,0.5,0.07188568331773702,59,4.0,20
BR1,PC2,0.6000000000000001,0.0712113656178331,59,4.0,20
BR1,PC2,0.7000000000000001,0.07052611304384732,59,4.0,20
BR1,PC2,0.8,0.06983119575085334,59,4.0,20
BR1,PC2,0.9,0.06912787622577461,59,4.0,20
BR1,PC2,1.0,0.06841739381056523,59,4.0,20
BR1,PC2,1.1,0.06770094933550291,59,4.0,20
BR1,PC2,1.2000000000000002,0.06697969041889584,59,4.0,20
BR1,PC2,1.3,0.06625469795018606,59,4.0,20
BR1,PC2,1.4000000000000001,0.06552697421344715,59,4.0,20
BR1,PC2,1.5,0.0647974330305756,59,4.0,20
BR1,PC2,1.6,0.06406689221173965,59,4.0,20
BR1,PC2,1.7000000000000002,0.0633360684990942,59,4.0,20
BR1,PC2,1.8,0.06260557508299044,59,4.0,20
BR1,PC2,1.9000000000000001,0.06187592166264993,59,4.0,20
BR1,PC2,2.0,0.061147516920253206,59,4.0,20
BR1,PC2,2.1,0.06042067318307353,59,4.0,20
BR1,PC2,2.2,0.05969561296669771,59,4.0,20
BR1,PC2,2.3000000000000003,0.05897247702693827,59,4.0,20
BR1,PC2,2.4000000000000004,0.058251333501415856,59,4.0,20
BR1,PC2,2.5,0.057532187695778544,59,4.0,20
BR1,PC2,2.6,0.05681499206498215,59,4.0,20
BR1,PC2,2.7,0.056099655956868236,59,4.0,20
BR1,PC2,2.8000000000000003,0.05538605472237034,59,4.0,20
BR1,PC2,2.9000000000000004,0.054674037852068175,59,4.0,20
BR1,PC2,3.0,0.05396343586969611,59,4.0,20
BR1,PC2,3.1,0.053254065796108065,59,4.0,20
BR1,PC2,3.2,0.052545735088091794,59,4.0,20
BR1,PC2,3.3000000000000003,0.05183824405094624,59,4.0,20
BR1,PC2,3.4000000000000004,0.05113138681737392,59,4.0,20
BR1,PC2,3.5,0.05042495107353154,59,4.0,20
BR1,PC2,3.6,0.04971871679181151,59,4.0,20
BR1,PC2,3.7,0.04901245429532039,59,4.0,20
BR1,PC2,3.8000000000000003,0.0483059220279018,59,4.0,20
BR1,PC2,3.9000000000000004,0.04759886443349778,59,4.0,20
BR1,PC2,4.0,0.04689101035807121,59,4.0,20
BR1,PC2,4.1000000000000005,0.04618207237556981,59,4.0,20
BR1,PC2,4.2,0.04547174740678409,59,4.0,20
BR1,PC2,4.3,0.044759718947660836,59,4.0,20
BR1,PC2,4.4,0.04404566115378149,59,4.0,20
BR1,PC2,4.5,0.04332924494318073,59,4.0,20
BR1,PC2,4.6000000000000005,0.04261014618401525,59,4.0,20
BR1,PC2,4.7,0.04188805593083789,59,4.0,20
BR1,PC2,4.800000000000001,0.04116269256776852,59,4.0,20
BR1,PC2,4.9,0.04043381561319747,59,4.0,20
BR1,PC2,5.0,0.039701240843276024,59,4.0,20
BR1,PC2,5.1000000000000005,0.038964856304568,59,4.0,20
BR1,PC2,5.2,0.03822463871366523,59,4.0,20
BR1,PC2,5.300000000000001,0.03748066968654236,59,4.0,20
BR1,PC2,5.4,0.036733151205470466,59,4.0,20
BR1,PC2,5.5,0.035982419718149194,59,4.0,20
BR1,PC2,5.6000000000000005,0.035228958273205976,59,4.0,20
BR1,PC2,5.7,0.03447340612830559,59,4.0,20
BR1,PC2,5.800000000000001,0.03371656532088578,59,4.0,20
BR1,PC2,5.9,0.032959403765216375,59,4.0,20
BR1,PC2,6.0,0.03220305453054776,59,4.0,20
BR1,PC2,6.1000000000000005,0.0314488110603985,59,4.0,20
BR1,PC2,6.2,0.030698118208851027,59,4.0,20
BR1,PC2,6.300000000000001,0.02995255909203785,59,4.0,20
BR1,PC2,6.4,0.02921383787757453,59,4.0,20
BR1,PC2,6.5,0.028483758757263597,59,4.0,20
BR1,PC2,6.6000000000000005,0.0277642014648263,59,4.0,20
BR1,PC2,6.7,0.02705709380687044,59,4.0,20
BR1,PC2,6.800000000000001,0.02636438176834876,59,4.0,20
BR1,PC2,6.9,0.025687997830516892,59,4.0,20
BR1,PC2,7.0,0.025029828197596485,59,4.0,20
BR1,PC2,7.1000000000000005,0.024391679666413865,59,4.0,20
BR1,PC2,7.2,0.023775246890355185,59,4.0,20
BR1,PC2,7.300000000000001,0.023182080784918783,59,4.0,20
BR1,PC2,7.4,0.02261355879751354,59,4.0,20
BR1,PC2,7.5,0.02207085772015544,59,4.0,20
BR1,PC2,7.6000000000000005,0.021554929662138254,59,4.0,20
BR1,PC2,7.7,0.02106648172287208,59,4.0,20
BR1,PC2,7.800000000000001,0.020605959815556192,59,4.0,20
BR1,PC2,7.9,0.020173536993120474,59,4.0,20
BR1,PC2,8.0,0.019769106522034827,59,4.0,20
BR1,PC2,8.1,0.019392279840306743,59,4.0,20
BR1,PC2,8.200000000000001,0.0190423894263639,59,4.0,20
BR1,PC2,8.3,0.018718496498502366,59,4.0,20
BR1,PC2,8.4,0.018419403362883207,59,4.0,20
BR1,PC2,8.5,0.01814367013408408,59,4.0,20
BR1,PC2,8.6,0.01788963546799562,59,4.0,20
BR1,PC2,8.700000000000001,0.017655440874030707,59,4.0,20
BR1,PC2,8.8,0.017439058113400394,59,4.0,20
BR1,PC2,8.9,0.01723831914338489,59,4.0,20
BR1,PC2,9.0,0.01705094803445945,59,4.0,20
BR1,PC2,9.1,0.016874594267793412,59,4.0,20
BR1,PC2,9.200000000000001,0.0167068668146439,59,4.0,20
BR1,PC2,9.3,0.016545368405816673,59,4.0,20
BR1,PC2,9.4,0.01638772941770908,59,4.0,20
BR1,PC2,9.5,0.016231640830323583,59,4.0,20
BR1,PC2,9.600000000000001,0.01607488575073294,59,4.0,20
BR1,PC2,9.700000000000001,0.015915369041384932,59,4.0,20
BR1,PC2,9.8,0.015751144644904243,59,4.0,20
BR1,PC2,9.9,0.015580440254229657,59,4.0,20
BR1,PC2,10.0,0.015401679037601394,59,4.0,20
BR1,PC2,10.100000000000001,0.015213498190735794,59,4.0,20
BR1,PC2,10.200000000000001,0.015014764152229477,59,4.0,20
BR1,PC2,10.3,0.014804584381659155,59,4.0,20
BR1,PC2,10.4,0.014582315661926738,59,4.0,20
BR1,PC2,10.5,0.014347568947191167,59,4.0,20
BR1,PC2,10.600000000000001,0.014100210834374838,59,4.0,20
BR1,PC2,10.700000000000001,0.01384036178897808,59,4.0,20
BR1,PC2,10.8,0.013568391304107436,59,4.0,20
BR1,PC2,10.9,0.01328491021463241,59,4.0,20
BR1,PC2,11.0,0.012990760425712481,59,4.0,20
BR1,PC2,11.100000000000001,0.012687002346137333,59,4.0,20
BR1,PC2,11.200000000000001,0.012374900341626199,59,4.0,20
BR1,PC2,11.3,0.01205590654114504,59,4.0,20
BR1,PC2,11.4,0.01173164334021705,59,4.0,20
BR1,PC2,11.5,0.011403884949016454,59,4.0,20
BR1,PC2,11.600000000000001,0.01107453832975162,59,4.0,20
BR1,PC2,11.700000000000001,0.010745623857589226,59,4.0,20
BR1,PC2,11.8,0.01041925602240917,59,4.0,20
BR1,PC2,11.9,0.010097624465416346,59,4.0,20
BR1,PC2,12.0,0.009782975615623654,59,4.0,20
BR1,PC2,12.100000000000001,0.00947759515716062,59,4.0,20
BR1,PC2,12.200000000000001,0.009183791520094194,59,4.0,20
BR1,PC2,12.3,0.008903880545938082,59,4.0,20
BR1,PC2,12.4,0.008640171435349118,59,4.0,20
BR1,PC2,12.5,0.008394954040818185,59,4.0,20
BR1,PC2,12.600000000000001,0.008170487522669124,59,4.0,20
BR1,PC2,12.700000000000001,0.007968990343607204,59,4.0,20
BR1,PC2,12.8,0.007792631536620857,59,4.0,20
BR1,PC2,12.9,0.007643523144391137,59,4.0,20
BR1,PC2,13.0,0.007523713696569396,59,4.0,20
BR1,PC2,13.100000000000001,0.007435182565284453,59,4.0,20
BR1,PC2,13.200000000000001,0.007379835019821432,59,4.0,20
BR1,PC2,13.3,0.0073594977891752525,59,4.0,20
BR1,PC2,13.4,0.00737591493651873,59,4.0,20
BR1,PC2,13.5,0.007430743852711913,59,4.0,20
BR1,PC2,13.600000000000001,0.007525551186758019,59,4.0,20
BR1,PC2,13.700000000000001,0.0076618085492893015,59,4.0,20
BR1,PC2,13.8,0.007840887850218352,59,4.0,20
BR1,PC2,13.9,0.008064056162867754,59,4.0,20
BR1,PC2,14.0,0.008332470043238456,59,4.0,20
BR1,PC2,14.100000000000001,0.00864716927345182,59,4.0,20
BR1,PC2,14.200000000000001,0.009009070041501237,59,4.0,20
BR1,PC2,14.3,0.009418957613848008,59,4.0,20
BR1,PC2,14.4,0.009877478601576293,59,4.0,20
BR1,PC2,14.5,0.010385132963216841,59,4.0,20
BR1,PC2,14.600000000000001,0.010942265926392325,59,4.0,20
BR1,PC2,14.700000000000001,0.011549060044603921,59,4.0,20
BR1,PC2,14.8,0.012205527633342674,59,4.0,20
BR1,PC2,14.9,0.012911503849984702,59,4.0,20
BR1,PC2,15.0,0.013666640693527979,59,4.0,20
BR1,PC2,15.100000000000001,0.014470402202299715,59,4.0,20
BR1,PC2,15.200000000000001,0.015322061119737742,59,4.0,20
BR1,PC2,15.3,0.016220697279977565,59,4.0,20
BR1,PC2,15.4,0.017165197936347805,59,4.0,20
BR1,PC2,15.5,0.018154260217447288,59,4.0,20
BR1,PC2,15.600000000000001,0.01918639584806172,59,4.0,20
BR1,PC2,15.700000000000001,0.020259938216953478,59,4.0,20
BR1,PC2,15.8,0.021373051812036966,59,4.0,20
BR1,PC2,15.9,0.02252374397743977,59,4.0,20
BR1,PC2,16.0,0.023709878878509554,59,4.0,20
BR1,PC2,16.1,0.024929193492200626,59,4.0,20
BR1,PC2,16.2,0.026179315373824445,59,4.0,20
